Date,Artist,Song Name,Song Korean Name,Song Type
10/19/2015,Twice,Like OOH-AHH,우아하게,Major
10/19/2015,DIA,My Friend's Boyfriend,내 친구의 남자친구,Major
10/13/2015,AOA,Oh Boy,보이,Japanese
10/7/2015,Oh My Girl,Closer,클로저,Major
10/6/2015,MelodyDay,Speed Up,스피드 업,Major
9/30/2015,Lovelyz,Ah-Choo,아츄,Major
9/30/2015,A-Daily,Spotlight,스포트라이트,Major
9/24/2015,A.H.H.A,Hood On,훋 온,Major
9/24/2015,Mamamoo,Girl Crush,걸크러쉬,OST
9/22/2015,Berry Good,My First Love,내 첫사랑,Major
9/17/2015,DIA,I Wanna Listen to Music,음악 들을래,Minor
9/17/2015,DIA,Lean on Me (feat. Microdot),린온미,Minor
9/14/2015,DIA,Somehow,왠지,Major
9/13/2015,Lovelyz,Shooting Star,작별하나,Minor
9/8/2015,Red Velvet,Dumb Dumb,덤덤,Major
9/8/2015,Ladies' Code,Smile Even Though It Hurts,아파도 웃을래,Minor
8/27/2015,Year 7 Class 1,Always (2015 ver.),,Major
8/25/2015,2EYES,Pippi,삐삐,Major
8/24/2015,MyB,My Oh My,심장어택,Major
8/24/2015,"Mamamoo, Basick",Stand Up,,Minor
8/23/2015,APRIL,Dream Candy,꿈사탕,Major
8/18/2015,Girls' Generation,You Think,유 싱크,Major
8/17/2015,Girls' Generation,Lion Heart,라이온 하트,Major
8/16/2015,Blady,Secret Number,비밀열쇠,Major
8/3/2015,T-ara,So Crazy,완전 미쳤네,Major
8/3/2015,Apink,Petal,꽃잎점,Minor
8/1/2015,Baby Boo,Boo Boo Boo,부부부,Major
7/31/2015,Wonder Girls,I Feel You,아이필유,Major
7/29/2015,Flashe,The Star Of Stars,별의별,Major
7/21/2015,Hello Venus,I'm Ill,난 예술이야,Major
7/21/2015,10X10,AMOMIA,아모미아,Major
7/20/2015,Wanna.B,Attention,전체 차렷,Major
7/19/2015,Sonamoo,Cushion,쿠션,Major
7/19/2015,Stellar,Vibrato,떨려요,Major
7/17/2015,Awesome Baby,Why me?,내가 왜?,Major
7/15/2015,N*White,Paradise,천국,Major
7/7/2015,D.Holic,Chewy,쫄깃쫄깃,Major
7/5/2015,LoveUs,Tickle,티클,Major
7/2/2015,4Ten,Go Easy,살살해,Major
7/1/2015,Minx,Love Shake,러브 쉐이크,Major
7/1/2015,9MUSES,Hurt Locker,다쳐,Major
6/29/2015,Crayon Pop,Rarirure,라리루레,Japanese
6/24/2015,Playback,Playback,플레이백,Major
6/22/2015,GFRIEND,Me Gustas Tu,오늘부터 우리는,Major
6/21/2015,AOA,Heart Attack,심쿵해,Major
6/21/2015,SISTAR,Shake It,쉐이크 잇,Major
6/19/2015,Asha,Mr. Liar,미스터라이어,Major
6/18/2015,Mamamoo,Um Oh Ah Yeh,음오아예,Major
6/15/2015,Apink,Remember,리멤버,Major
6/8/2015,MelodyDay,#LoveMe,러브미,Major
6/7/2015,Girls' Generation,Party,파티,Major
6/4/2015,A.KOR BLACK,How We Do,하우 위 두,Major
6/1/2015,Year 7 Class 1,White Wind,하얀바람,Major
5/27/2015,CLC,Like,궁금해,Major
5/25/2015,KARA,Cupid,큐피드,Major
5/11/2015,Girl's Day,Hello Bubble,헬로버블,Minor
5/7/2015,BESTie,Excuse Me,익스큐즈미,Major
5/2/2015,Lovelyz,Hi~,안녕,Major
4/29/2015,Cupid,I Feel Good,아이필굿,Major
4/20/2015,Oh My Girl,Cupid,오마이걸,Major
4/19/2015,Gavy NJ,Ju Ju Ju,친구가 널봤대,Major
4/18/2015,Apink,Promise U,새끼손가락,Minor
4/14/2015,Dal Shabet,Joker,조커,Major
4/12/2015,EXID,Ah Yeah,아예,Major
4/9/2015,Girls' Generation,Catch Me If You Can,캐치미 이프유캔,Minor
4/1/2015,Mamamoo,Ahh Oop (with eSNa),아훕!,Minor
3/30/2015,Blady,Come To Me,다가와,Major
3/29/2015,miss A,Only You,다른 남자 말고 너,Major
3/26/2015,Crayon Pop,FM,에프엠,Major
3/25/2015,LABOUM,Sugar Sugar,슈가슈가,Major
3/25/2015,Sonamoo,Just Go,가는거야,Minor
3/19/2015,Bubble X,Why Didn't I Know It Then,그땐 왜 몰랐을까,Minor
3/18/2015,CLC,Pepe,페페,Major
3/18/2015,Davichi,Two Lovers,두사랑,Major
3/17/2015,SUS4,Shake It,흔들어,Major
3/15/2015,Red Velvet,Ice Cream Cake,아이스크림 케이크,Major
3/14/2015,Red Velvet,Automatic,오토매틱,Major
3/10/2015,Stellar,Fool,멍청이,Major
3/3/2015,Fiestar,You're Pitiful,짠해,Major
2/25/2015,Lip Service,In The Spring,봄 되면 어쩌나,Major
2/22/2015,Rainbow,Black Swan,블랙스완,Major
2/9/2015,After School,Shine,,Japanese
2/8/2015,4Minute,Crazy,미쳐,Major
2/8/2015,Berry Good,Because of You,요즘 너 때문에 난,Major
2/5/2015,Mamamoo,My Everything,내 눈 속엔 너,OST
1/28/2015,Sunny Hill,Child In Time,교복을 벗고,Major
1/26/2015,Wassup,Stupid Liar,,Major
1/25/2015,4Minute,Cold Rain,추운 비,Minor
1/23/2015,Davichi,"Sorry, I'm Happy",행복해서 미안해,Major
1/22/2015,9MUSES,Drama,드라마,Major
1/21/2015,Davichi,Cry Again,또 운다 또,Major
1/14/2015,GFRIEND,Glass Bead,유리구슬,Major
1/12/2015,Tahiti,Phone Number,폰넘버,Major
1/8/2015,Hello Venus,Wiggle Wiggle,위글위글,Major
1/6/2015,Flashe,My Day,마이데이,Major
1/4/2015,4Ten,Why,왜 이래,Major
12/28/2014,Sonamoo,Deja vu,데자뷰,Major
12/28/2014,The SeeYa,The Song of Love,사랑의 노래,Major
12/11/2014,MelodyDay,Anxious,겁나,Minor
12/8/2014,Wassup,Shut Up U,시끄러워U,Major
12/3/2014,A-Daily,If You Don't Tell Me,말을 해야 알지,Major
12/3/2014,Luluz,How About Me?,넌 나 어때?,Major
12/3/2014,Wanna.B,My Type,,Major
11/26/2014,Sunny Hill,Here I Am,지우다,Major
11/24/2014,Tiny-G M,The Only One,,Major
11/23/2014,T-ara,Little Apple,,CF
11/23/2014,Apink,LUV,러브,Major
11/20/2014,Mamamoo,Piano Man,피아노 맨,Major
11/16/2014,Lovelyz,Candy Jelly Love,캔디 젤리 러브,Major
11/10/2014,AOA,Like a Cat,사뿐사뿐,Major
11/9/2014,Lovelyz,Good Night Like Yesterday,어제처럼 굿나잇,Minor
11/6/2014,Year 7 Class 1,Break Up Fighting,이별파이팅,Major
11/5/2014,Hello Venus,Sticky Sticky,끈적끈적,Major
11/4/2014,Spica,Ghost,고스트,Major
10/30/2014,LABOUM,What About You,어떡할래,Major
10/28/2014,As One,For the night,오늘같은 날,Major
10/24/2014,D.Holic,I Don’t Know,몰라요,Major
10/24/2014,D.Holic,Without You,,Major
10/14/2014,Girls' Generation,Divine,,Japanese
10/14/2014,Girl's Day,I Miss You,보고싶어,Minor
10/10/2014,T-ara,Number Nine,넘버나인,Major
10/10/2014,T-ara,Because I Know,느낌아니까,Minor
10/9/2014,Red Velvet,Be Natural,비내츄럴,Major
10/6/2014,Gavy NJ,I Wish,좋겠다,Major
9/18/2014,Minx,Why Did You Come To My Home?,우리 집에 왜 왔니?,Major
9/17/2014,Girls' Generation-TTS,Holler,,Major
9/15/2014,N*White,Hello Boy,동화,Major
9/15/2014,Ladies' Code,I'm Fine Thank You,,Minor
9/11/2014,T-ara,SUGAR FREE,슈가프리,Major
9/11/2014,Spica.S,Give Your Love,남주긴 아까워?,Major
9/4/2014,A.KOR,But Go,벗 고,Major
9/2/2014,Orange Caramel,The Gangnam Avenue,강남거리,Minor
8/27/2014,LABOUM,Pit-a-pat,두근두근,Major
8/26/2014,EXID,Up&Down,위아래,Major
8/25/2014,4Ten,Tornado,토네이도,Major
8/25/2014,SISTAR,I Swear,아이 스웨어,Major
8/20/2014,Stellar,Mask,마스크,Major
8/20/2014,Lip Service,Too Fancy,돈비싸,Major
8/20/2014,Sunny Hill,Monday Blues,먼데이 블루스,Major
8/17/2014,KARA,Mamma Mia,맘마미아,Major
8/17/2014,Orange Caramel,My Copycat,나처럼 해봐요,Major
8/10/2014,SECRET,I'm In Love,아임 인 러브,Major
8/7/2014,Spica,I Did It,,English
8/6/2014,Ladies' Code,Kiss Kiss,키스 키스,Major
8/3/2014,Red Velvet,Happiness,행복,Major
8/1/2014,Girls' Generation,Indestructible,,Japanese
8/1/2014,4L,Move,무브,Major
7/31/2014,Sunny Hill,Once in Summer,그 해 여름,Major
7/27/2014,BESTie,Hot Baby,핫 베이비,Major
7/21/2014,Delight,Hate You!,내가 없냐!,Major
7/20/2014,SISTAR,Touch My Body,터치 마이 바디,Major
7/14/2014,A.KOR,Payday,페이데이,Major
7/13/2014,Girl's Day,Darling,달링,Major
7/13/2014,Crayon Pop,Hey Mister,헤이 미스터,Major
7/10/2014,BESTie,Like a Star,별처럼,Minor
7/4/2014,Davichi,Don't Move,움직이지마,Major
7/2/2014,f(x),Red Light,레드 라이트,Major
7/2/2014,Tiny-G,Ice Baby,아이스 베이비,Major
7/2/2014,Wings,Blossom,꽃이 폈어요,Major
7/1/2014,Fiestar,One More,하나 더,Major
6/25/2014,2NE1,Crush,,Japanese
6/19/2014,Davichi,Pillow,팔베개,Major
6/18/2014,AOA,Short Hair,단발머리,Major
6/17/2014,Mamamoo,Mr. Ambiguous,Mr. 애매모호,Major
6/15/2014,Apink,Crystal,크리스탈,Minor
6/11/2014,Tahiti,Oppa You're Mine,오빤내꺼,Major
6/9/2014,Bob Girls,No Way,노웨이,Major
6/9/2014,Wassup,Fire,,Major
6/5/2014,Davichi,Again,헤어졌다 만났다,Major
5/26/2014,Year 7 Class 1,Always,,Major
5/25/2014,15&,Sugar,슈가,Major
5/21/2014,Berry Good,Love Letter,러브레터,Major
5/20/2014,2NE1,Gotta Be You,너 아님 안,Major
5/19/2014,Flashe,Hey You,헤이 유,Major
5/19/2014,Orange Caramel,Abing Abing,아빙아빙,Major
5/12/2014,T-ara,Lucky Wannabeee!,,Japanese
4/4/2014,AliceWhite,Baby Like That,빙빙빙,Major
3/31/2014,Crayon Pop,Uh-ee,어이,Major
3/30/2014,Apink,Mr. Chu,미스터 츄,Major
3/27/2014,Tint,Wolf Is Stupid,늑대들은 몰라요,Major
3/25/2014,Gavy NJ,How Are You?,별일없니?,Major
3/16/2014,4Minute,Whatcha Doin' Today?,오늘 뭐해,Major
3/11/2014,Orange Caramel,Catallena,까탈레나,Major
3/11/2014,Wings,Hair Short,,Major
3/2/2014,2NE1,Happy,해피,Major
3/2/2014,2NE1,Come Back Home,컴백홈,Major
3/2/2014,1PS,Because I'm your girl,여자이니까,Major
2/27/2014,BESTie,Thank U Very Much,땡큐 베리 머치,Major
2/26/2014,K-Girls,Not Bad,,Major
2/25/2014,Girls' Generation,Mr.Mr,미스터미스터,Major
2/24/2014,MelodyDay,Another Parting,어떤 안녕,Major
2/12/2014,Ladies' Code,So Wonderful,쏘 원더풀,Major
2/12/2014,Vetty L,X Boy,독을품다,Major
2/11/2014,Stellar,Marionette,마리오네트,Major
2/10/2014,"Mamamoo, K.will",Peppermint Chocolate (feat. Wheesung),썸남썸녀,Minor
2/6/2014,GP Basic,Pika-Burnjuck,삐까뻔쩍,Major
2/3/2014,Lip Service,Yum Yum Yum,냠냠냠,Major
1/26/2014,Spica,You Don't Love Me,유 돈트 러브 미,Major
1/23/2014,Year 7 Class 1,Oppa Virus,오빠 바이러스,Major
1/20/2014,The SeeYa,Tell Me,텔미,Major
1/19/2014,Rainbow Blaxx,Cha Cha,차차,Major
1/15/2014,AOA,Miniskirt,짧은 치마,Major
1/14/2014,Flashe,"Oh, Ye, Yo",오예요,Major
1/12/2014,Apink,Goodmorning Baby,굿모닝베이비,Major
1/8/2014,"Mamamoo, Bumkey",Don't Be Happy,행복하지마,Minor
1/7/2014,Dal Shabet,B.B.B,비비비,Major
1/2/2014,Girl's Day,Something,썸씽,Major
1/2/2014,The SeeYa,More & More,하면할수록,Major
1/2/2014,Wassup,Jingle Bell,징글벨,Major
12/19/2013,After School,Shh,,Japanese
12/18/2013,Wassup,La Pam Pam Pa,라팜팜파,Major
12/17/2013,Miss S,Just Let Me Live,나도 좀 살자,Major
12/16/2013,BESTie,Zzang Christmas,짱 크리스마스,Minor
12/14/2013,T-ara,Hide & Seek,숨바꼭질,Minor
12/12/2013,K-Girls,Fly High,,Major
12/12/2013,LPG,Filial Daughters Generation,효녀시대,Major
12/8/2013,SECRET,I Do I Do,아이두아이두,Major
12/4/2013,T-ara,Do You Know Me?,나 어떡해,Major
12/3/2013,9MUSES,Glue,글루,Major
12/2/2013,LPG,Ppang Ya Ppang Ya,빵야빵야,Minor
12/1/2013,Crayon Pop,Lonely Christmas,꾸리스마스,Major
11/20/2013,2NE1,Missing You,그리워해요,Major
11/19/2013,Wassup,Nom Nom Nom,,Major
11/18/2013,Blady,Blood Type B Girl,b형여자,Major
11/12/2013,Davichi,The Letter,편지,Major
11/11/2013,T-ara,Kioku: Kimi ga Kureta Michishirube,記憶～君がくれた道標（みちしるべ）～,Japanese
11/5/2013,miss A,Hush,허쉬,Major
11/4/2013,Girls' Generation,Galaxy Supernova,갤럭시 슈퍼노바,Japanese
11/4/2013,Girls' Generation,My oh My,마이 오 마이,Japanese
10/31/2013,Fiestar,I Don't Know,아무것도 몰라요,Major
10/29/2013,Tint,Love At First Sight,첫눈에 반했어,Major
10/23/2013,Delight,School Bell Ring,학교종이 땡땡땡,Major
10/16/2013,BESTie,Love Options,연애의 조건,Major
10/14/2013,As One,What Are We?,우리 무슨 사이야?,Major
10/13/2013,9MUSES,Gun,건,Major
10/13/2013,Girl's Day,Let's Go,렛츠 고,Minor
10/9/2013,AOA,Confused,흔들려,Major
10/9/2013,2EYES,Shooting Star,슈팅 스타,Major
10/1/2013,Tiny-G,Miss You,보고파,Major
9/27/2013,Crayon Pop,Dancing Queen 2.0,댄싱퀸2.0,Major
9/16/2013,F-ve Dolls,Cheated,사기쳤어,Minor
9/11/2013,F-ve Dolls,Can You Love Me,사랑한다안한다,Major
9/4/2013,Wassup,Hotter Than A Summer,,Major
9/3/2013,Ladies' Code,Pretty Pretty,예뻐 예뻐,Major
9/2/2013,Apink,U YOU,유유,Minor
9/1/2013,KARA,Damaged Lady,숙녀가 못 돼,Major
8/27/2013,Spica,Tonight,투나잇,Major
8/24/2013,After School,Heaven,,Japanese
8/20/2013,KARA,Runaway,둘 중에 하나,Major
8/16/2013,Wassup,Wassup,와썹,Major
8/9/2013,Wassup,Bang Bang,,Major
8/7/2013,2NE1,Do You Love Me,두유러브미,Major
8/5/2013,Ladies' Code,Hate You,헤이츄,Major
7/29/2013,F-ve Dolls,1st Soulmate,짝1호,Major
7/28/2013,Brown Eyed Girls,Kill Bill,킬빌,Major
7/25/2013,AOA Black,Moya,모야,Major
7/24/2013,Tahiti,Love Sick,러브시크,Major
7/24/2013,f(x),Rum Pum Pum Pum,첫 사랑니,Major
7/19/2013,Miss S,You were not the..,니가 아니었기를,Major
7/19/2013,Apink,Secret Garden,시크릿가든,Minor
7/18/2013,KARA,Thank You Summer Love,サンキュー サマーラブ,Japanese
7/11/2013,BESTie,Pitapat,두근두근,Major
7/10/2013,Stellar,Study,공부하세요,Major
7/7/2013,2NE1,Falling In Love,폴링 인 러브,Major
7/4/2013,Apink,NoNoNo,노노노,Major
7/4/2013,Jewelry,Hot&Cold,핫앤콜드,Major
7/4/2013,Davichi,Missing you Today,오늘따라 보고 싶어서 그래,Major
7/4/2013,Rania,Up,업,Minor
6/30/2013,T-ara,Target,,Japanese
6/27/2013,4Minute,Is It Poppin'?,물 좋아?,Major
6/23/2013,Girl's Day,Female President,여자대통령,Major
6/23/2013,Crayon Pop,Bar Bar Bar,빠빠빠,Major
6/21/2013,2EYES,Don't Mess With Me,까불지마,Major
6/19/2013,Dal Shabet,Be Ambitious,내 다리를 봐,Major
6/12/2013,After School,First Love,첫사랑,Major
6/10/2013,Chocolat,Black Tinkerbell,블랙팅커벨,Major
6/10/2013,SISTAR,Give It To Me,기브 잇 투미,Major
6/4/2013,Girls' Generation,Love&Girls,러브앤걸스,Japanese
6/3/2013,Rainbow,Sunshine,선샤인,Major
5/8/2013,9MUSES,Wild,와일드,Major
5/7/2013,As One,Awkward Love,사랑이 어색해,Major
5/1/2013,Hello Venus,Would You Stay For Tea?,차 마실래?,Major
4/29/2013,SECRET,YooHoo,유 후,Major
4/28/2013,T-ara N4,Jeon Won Diary (Drama version),전원일기,Major
4/28/2013,T-ara N4,Jeon Won Diary (Dance version),전원일기,Major
4/25/2013,4Minute,What's Your Name,이름이 뭐예요?,Major
4/25/2013,Ladies' Code,I Won't Cry,안울래,Minor
4/18/2013,Gavy NJ,Farewell Theater,이별극장,Major
4/8/2013,15&,Somebody,썸바디,Major
4/4/2013,Girls' Generation,Beep Beep,,Japanese
4/1/2013,Delight,Mega Yak,메가 약,Major
4/1/2013,Davichi,Be Warmed,녹는 중,Major
3/18/2013,KARA,Bye Bye happy Days!,バイバイ ハッピーデイズ!,Japanese
3/18/2013,KARA,Orion,オリオン,Japanese
3/18/2013,Davichi,Just The Two of Us,둘이서 한잔해,Major
3/17/2013,Evol,Get Up,겟 업,Major
3/13/2013,Girl's Day,Expect,기대해,Major
3/12/2013,Glam,In Front of the Mirror,거울앞에서,Major
3/7/2013,Ladies' Code,Bad Girl,나쁜여자,Major
3/7/2013,Rania,Just Go,저스트 고,Major
3/4/2013,Davichi,Turtle,거북이,Major
3/3/2013,D-Unit,Talk To My Face,얼굴보고 얘기해,Major
2/20/2013,Girl's Day,White Day,화이트데이,Minor
2/15/2013,Orange Caramel,Cookies Cream & mint,クッキークリーム&ミント,Japanese
2/14/2013,Dasoni,Goodbye,굿바이,Major
2/12/2013,Rainbow,Tell Me Tell Me,텔미텔미,Major
2/11/2013,Two X,Ring Ma Bell,링마벨,Major
1/30/2013,SISTAR19,Gone Not Around Any Longer,있다 없으니까,Major
1/23/2013,9MUSES,Dolls,돌스,Major
1/20/2013,Tiny-G,Minimanomo,미니마니모,Major
1/2/2013,Apink,A Year Ago,일년전에,Minor
1/1/2013,Girls' Generation,I Got A Boy,아이 갓 어 보이,Major
1/1/2013,Glam,I Like That,아이 라이크 댓,Major
12/21/2012,Girls' Generation,Dancing Queen,댄싱퀸,Major
12/13/2012,Hello Venus,What Are You Doing Today?,오늘뭐해?,Major
12/13/2012,C-Real,Danger Girl,댄저 걸,Major
12/12/2012,Orange Caramel,Dashing through the snow in highheels (feat. NU'EST),흰눈 사이로 하이힐 타고,Special
12/6/2012,The SeeYa,Poison,독약,Major
12/3/2012,SECRET,Talk That,톡 댓,Major
11/22/2012,Gavy NJ,It's Pretty,이쁘네요,Major
11/21/2012,Girls' Generation,Flower Power,플라워 파워,Japanese
11/20/2012,Spica,Lonely,론리,Major
11/18/2012,Dal Shabet,For Darling,샤르르,Minor
11/14/2012,The SeeYa,Be Without You,내 맘은 죽어가요,Major
11/13/2012,Dal Shabet,"Have, Don't Have",있기 없기,Major
11/8/2012,Fiestar,We Don't Stop,위 돈 스탑,Major
11/6/2012,D-Unit,Luv Me,러브 미,Major
11/3/2012,Girls' Generation,All My Love Is For You,올마이러브이즈포유,Japanese
10/31/2012,Tahiti,Hasta Luego,아스타 루에고,Major
10/25/2012,Girl's Day,Don't Forget Me,나를 잊지마요,Major
10/25/2012,Miss S,Good Night,안자고 뭐해,Major
10/14/2012,miss A,I Don't Need A Man,남자 없이 잘 살아,Major
10/10/2012,KARA,Electric Boy,일렉트릭 보이,Japanese
10/10/2012,AOA,Get Out,겟 아웃,Major
10/10/2012,Jewelry,Look at me,룩앳미,Major
10/8/2012,Gavy NJ,Lady Killer,레이디킬러,Major
10/4/2012,15&,I Dream,아이 드림,Major
10/3/2012,EXID,Every Night,매일밤,Major
9/20/2012,Rania,Style,스타일,Major
9/18/2012,Spica,I'll Be There,아윌 비 데어,Major
9/12/2012,SECRET,Poison,포이즌,Major
9/11/2012,Orange Caramel,Lipstick,립스틱,Major
9/2/2012,T-ara,Sexy Love (Drama version),섹시러브,Major
9/2/2012,T-ara,Sexy Love (Dance version),섹시러브,Major
9/2/2012,"T-ara, Shannon, Gunji",Day and Night,낮과 밤,Minor
8/30/2012,Fiestar,Vista,비스타,Major
8/22/2012,Tiny-G,Tiny-G,작은거인,Major
8/21/2012,KARA,Pandora,판도라,Major
8/15/2012,Two X,Double Up,,Major
8/14/2012,EXID,I Feel Good,아이필굿,Major
8/9/2012,Evol,We are a bit different,우린 좀 달라,Major
8/6/2012,4Minute,Love Tension,러브텐션,Japanese
8/1/2012,D-Unit,I'm Missin' You,아임 미싱 유,Major
7/30/2012,AOA,Elvis,엘비스,Major
7/25/2012,"Fiestar, IU",Sea of Moonlight,달빛바다,Major
7/23/2012,Crayon Pop,Bing Bing,빙빙,Major
7/21/2012,Crayon Pop,Saturday Night,세러데이 나잇,Major
7/19/2012,Glam,Party(XXO),파티(XXO),Major
7/16/2012,Brown Eyed Girls,One Summer Night,한 여름밤의 꿈,Major
7/13/2012,Tahiti,Tonight,투나잇,Major
7/9/2012,Wonder Girls,Like Money ft. Akon,라이크 머니,English
7/8/2012,T-ara,Day by Day (Dance version),데이바이데이,Major
7/6/2012,2NE1,I Love You,아이 러브 유,Major
7/2/2012,T-ara,Day by Day (Drama version),데이바이데이,Major
6/27/2012,SISTAR,Loving U,러빙유,Major
6/19/2012,After School,Flashback,플래쉬백,Major
6/14/2012,Girls' Generation,Paparazzi,파파라치,Japanese
6/11/2012,f(x),Electric Shock,일렉트릭 쇼크,Major
6/5/2012,2NE1,Be Mine,,CF
6/5/2012,Dal Shabet,Mr. BangBang,미스터 뱅뱅,Major
6/5/2012,Girls' Generation-TTS,OMG (Oh My God),,Minor
6/2/2012,Wonder Girls,Like This,라이크디스,Major
5/27/2012,As One,Day By Day 2012,,Major
5/23/2012,T-ara,Round and Round,빙글빙글,Major
5/15/2012,C-Real,Sorry But I,쏘리 벗 아이,Major
5/9/2012,Apink,Hush,허쉬,Major
5/8/2012,Hello Venus,Venus,비너스,Major
5/2/2012,Gavy NJ,Don't Call Me,연락하지마,Major
5/1/2012,Stellar,UFO,유에프오,Major
4/30/2012,Girls' Generation-TTS,Twinkle,,Major
4/17/2012,Girl's Day,Oh! My God,오마이갓,Major
4/11/2012,SISTAR,Alone,나혼자,Major
4/8/2012,4Minute,Volume Up,볼륨 업,Major
4/3/2012,Girls' Generation,Time Machine,,Japanese
3/28/2012,Spica,Painkiller,페인킬러,Major
3/18/2012,Rainbow,Gonna Gonna Go!,ガナガナGO!,Japanese
3/7/2012,9MUSES,Ticket,티켓,Major
3/6/2012,C-Real,Joma Joma,조마 조마,Major
3/5/2012,2NE1,Scream,,Japanese
3/5/2012,KARA,Girls Power,ガールズ　パワー,Japanese
3/5/2012,KARA,Speed Up,スピード　アップ,Japanese
2/22/2012,Brave Girls,Nowadays You,요즘 너,Major
2/20/2012,Orange Caramel,Bangkok City,방콕시티,Major
2/19/2012,miss A,Touch,터치,Major
2/15/2012,EXID,Whoz That Girl,후즈 댓 걸,Major
2/14/2012,GP Basic,Ride the Edge,Edge 타,Major
2/8/2012,Chocolat,One More Day,하루만 더,Major
2/8/2012,Spica,Russian Roulette,러시안룰렛,Major
2/6/2012,Davichi,Will Think Of You,생각날거야,Major
1/26/2012,Dal Shabet,Hit U,히트 유,Major
1/11/2012,Wonder Girls,The DJ Is Mine,더 디제이 이즈 마인,English
1/11/2012,T-ara,Lovey Dovey (Zombie version),러비더비,Major
1/11/2012,Rainbow Pixie,Hoi Hoi,호이호이,Major
1/10/2012,9MUSES,News,뉴스,Major
1/9/2012,Spica,Doggedly,독하게,Major
1/1/2012,T-ara,Lovey Dovey (Drama version),러비더비,Major
12/21/2011,"T-ara, Davichi",We Were In Love,우리 사랑했잖아,Major
12/14/2011,Orange Caramel,Funny Hunny,퍼니허니,Major
11/29/2011,After School,Tap Slap,,Japanese
11/22/2011,Apink,My My,마이 마이,Major
11/20/2011,Rania,Pop Pop Pop,팝 팝 팝,Major
11/17/2011,T-ara,Cry Cry,크라이 크라이,Major
11/14/2011,4Minute,Ready Go,,Japanese
11/8/2011,T-ara,Cry Cry (Drama version),크라이 크라이,Major
11/5/2011,Wonder Girls,Be My Baby,비마이베이비,Major
11/3/2011,Brown Eyed Girls,Cleansing Cream,클렌징크림,Major
10/23/2011,KARA,Winter Magic,ウィンターマジック,Japanese
10/18/2011,Girls' Generation,The Boys,더 보이즈,Major
10/17/2011,SECRET,Love is MOVE,사랑은 무브,Major
10/12/2011,Orange Caramel,Shanghai Romance,샹하이 로맨스,Major
10/11/2011,C-Real,No No No No No,노노노노노,Major
9/22/2011,Brown Eyed Girls,Sixth Sense,식스센스,Major
9/21/2011,Jewelry S,Forget It,됐지 뭐,Major
9/19/2011,T-ara,LOG-IN,로그인,Minor
9/15/2011,Brown Eyed Girls,Hotshot,핫샷,Major
9/5/2011,Girl's Day,Don't Flirt,너 한눈 팔지마,Major
9/5/2011,KARA,Step,스텝,Major
8/31/2011,Stellar,Rocket Girl,로켓걸,Major
8/26/2011,Davichi,Don't Say Goodbye,안녕이라고 말하지마,Major
8/18/2011,9MUSES,Figaro,피가로,Minor
8/16/2011,Chocolat,Syndrome,신드롬,Major
8/10/2011,Girls' Generation,Bad Girl,,Japanese
8/10/2011,Dal Shabet,Bling Bling,블링블링,Major
8/8/2011,SISTAR,So Cool,쏘 쿨,Major
8/2/2011,T-ara,Roly Poly in Copacabana,롤리폴리 코파카바나,Major
7/28/2011,Brave Girls,Easily,툭하면,Major
7/27/2011,2NE1,Ugly,어글리,Major
7/27/2011,After School Red,Night into the sky,밤하늘에,Major
7/26/2011,Blady,Crazy Day,미친날,Major
7/20/2011,2NE1,Hate You,헤이트유,Major
7/19/2011,After School Blue,Wonder Boy,원더 보이,Major
7/17/2011,miss A,Good-bye Baby,굿바이 베이비,Major
7/17/2011,Jewelry,Fool,바보야,Minor
7/14/2011,GP Basic,Jelly Pop,젤리 팝,Major
7/8/2011,The Grace - Dana&Sunday,One More Chance,나 좀 봐줘,Major
7/7/2011,Girls' Generation,Way To Go,힘 내!,Minor
6/29/2011,T-ara,Roly Poly,롤리폴리,Major
6/27/2011,2NE1,I Am The Best,내가 제일 잘 나가,Major
6/22/2011,Apink,It Girl (Remix ver.),잇 걸,Minor
6/21/2011,Rainbow,Sweet Dream,스윗 드림,Major
6/17/2011,f(x),Hot Summer,핫 섬머,Major
6/15/2011,KARA,GO GO Summer!,GO GO サマー!,Japanese
6/13/2011,Apink,Wishlist,위시리스트,Minor
6/2/2011,Girl's Day,Hug Me Once,한번만 안아줘,Major
6/1/2011,SECRET,Starlight Moonlight,별빛달빛,Major
5/17/2011,After School,Play Ur Love,플레이 유얼 러브,Minor
5/15/2011,Jewelry,Pass,,Major
5/11/2011,2NE1,Lonely,론니,Major
5/11/2011,5Dolls,Blah Blah,이러쿵저러쿵,Major
5/11/2011,miss A,Love Alone,,Minor
5/2/2011,SISTAR19,Ma Boy,마 보이,Major
4/29/2011,After School,Let's Step Up,렛츠 스텝 업,Minor
4/28/2011,After School,Shampoo,샴푸,Major
4/23/2011,Girls' Generation,Mr.Taxi,미스터 택시,Japanese
4/21/2011,Girl's Day,If You Give Your Heart To Me,너의 마음을 내게 준다면,OST
4/18/2011,Apink,I Don't Know,몰라요,Major
4/18/2011,f(x),Pinnochio (Danger),피노키오,Major
4/13/2011,Dal Shabet,Pink Rocket,핑크 로켓,Major
4/11/2011,KARA,"Right now, ""Thank you""",今、贈りたい「ありがとう」,Japanese
4/8/2011,Rainbow,To Me,내게로..,Major
4/7/2011,Brave Girls,Do You Know,아나요,Major
4/7/2011,Jewelry S,Date,데이트,Major
