Date,Artist,Song Name,Song Korean Name,Song Type
6/17/2021,Brave Girls,Chi Mat Ba Ram,치맛바람,Major
6/10/2021,Lightsum,Vanilla,,Major
6/9/2021,Twice,Alcohol-Free,알콜-프리,Major
6/3/2021,Pixy,The Moon (Performance ver.),,Special
6/2/2021,Mamamoo,Where Are We Now,,Major
5/28/2021,Weeekly,7days Tension,텐션업,CF
5/27/2021,woo!ah!,Purple,,Major
5/26/2021,GWSN,Like it Hot,라이크 잇 핫,Major
5/25/2021,EVERGLOW,FIRST,퍼스트,Major
5/20/2021,Yuqi,Bonnie & Clyde,,English
5/20/2021,Bling Bling,Oh Mama,,Major
5/20/2021,PIXY,Let Me Know,렛 미 노우,Major
5/18/2021,TRI.BE,RUB-A-DUM,,Major
5/17/2021,aespa,Next Level,,Major
5/17/2021,Rocket Punch,Ring Ring,,Major
5/17/2021,fromis_9,We Go,,Major
5/14/2021,ICU,Look at Me,,Major
5/12/2021,WJSN The Black,Easy,,Major
5/10/2021,Oh My Girl,Dun Dun Dance,던던댄스,Major
5/10/2021,KEEMBO,Whatever,,Major
5/4/2021,Brave Girls,Red Sun,,CF
5/4/2021,Hi Cutie,Gray Area,모호,Major
5/3/2021,BIBI,Birthday Cake,,Major
4/30/2021,ITZY,Mafia In The Morning,마.피.아. In The Morning,Major
4/29/2021,Heygirls,I Cook,아이쿠,Major
4/28/2021,HOT ISSUE,GRATATA,그라타타,Major
4/20/2021,Twice,Kura Kura,,Japanese
4/19/2021,Apink,Thank You,고마워,Special
4/18/2021,IZ*ONE,Parallel Universe,평행우주,Special
4/16/2021,MAJORS,Rain On Me,,Major
4/16/2021,MAJORS,Dancing in the Starlit Night,별빛에 춤을 추는 밤,Major
4/12/2021,Davichi,Just Hug Me,그냥 안아달란 말야,Major
4/12/2021,ELRIS,Miss You,그립다,Special
4/9/2021,Dreamcatcher,Eclipse,,Japanese
4/8/2021,STAYC,ASAP,,Major
4/7/2021,LUNARSOLAR,DADADA,다다다,Major
4/1/2021,3YE,Stalker,,Major
3/31/2021,WJSN,Unnatural,언내추럴,Major
3/26/2021,IZ*ONE,3!4!,,Minor
3/17/2021,Weeekly,After School,애프터 스쿨,Major
3/15/2021,Purple Kiss,Ponzona,폰조나,Major
3/12/2021,Dreamcatcher,Poison Love,,Special
3/9/2021,MAJORS,Stronger,,Major
3/9/2021,MAJORS,Spit it out,,Major
3/5/2021,G-reyish,Blood Night,숨,Major
3/5/2021,TRI.BE,Loca,,Minor
2/24/2021,Pixy,Wings,,Major
